year,category,winner,entity
1930,DIRECTING,FALSE,Cimarron
1930,DIRECTING,FALSE,A Free Soul
1930,DIRECTING,FALSE,The Front Page
1930,DIRECTING,FALSE,Morocco
1930,DIRECTING,TRUE,Skippy
1931,DIRECTING,TRUE,Bad Girl
1931,DIRECTING,FALSE,The Champ
1931,DIRECTING,FALSE,Shanghai Express
1932,DIRECTING,TRUE,Cavalcade
1932,DIRECTING,FALSE,Lady for a Day
1932,DIRECTING,FALSE,Little Women
1934,DIRECTING,TRUE,It Happened One Night
1934,DIRECTING,FALSE,One Night of Love
1934,DIRECTING,FALSE,The Thin Man
1935,DIRECTING,FALSE,Captain Blood
1935,DIRECTING,TRUE,The Informer
1935,DIRECTING,FALSE,The Lives of a Bengal Lancer
1935,DIRECTING,FALSE,Mutiny on the Bounty
1936,DIRECTING,FALSE,Dodsworth
1936,DIRECTING,FALSE,The Great Ziegfeld
1936,DIRECTING,TRUE,Mr. Deeds Goes to Town
1936,DIRECTING,FALSE,My Man Godfrey
1936,DIRECTING,FALSE,San Francisco
1937,DIRECTING,TRUE,The Awful Truth
1937,DIRECTING,FALSE,The Good Earth
1937,DIRECTING,FALSE,The Life of Emile Zola
1937,DIRECTING,FALSE,Stage Door
1937,DIRECTING,FALSE,A Star Is Born
1938,DIRECTING,FALSE,Angels with Dirty Faces
1938,DIRECTING,FALSE,Boys Town
1938,DIRECTING,FALSE,The Citadel
1938,DIRECTING,FALSE,Four Daughters
1938,DIRECTING,TRUE,You Can't Take It with You
1939,DIRECTING,TRUE,Gone with the Wind
1939,DIRECTING,FALSE,"Goodbye, Mr. Chips"
1939,DIRECTING,FALSE,Mr. Smith Goes to Washington
1939,DIRECTING,FALSE,Stagecoach
1939,DIRECTING,FALSE,Wuthering Heights
1940,DIRECTING,TRUE,The Grapes of Wrath
1940,DIRECTING,FALSE,Kitty Foyle
1940,DIRECTING,FALSE,The Letter
1940,DIRECTING,FALSE,The Philadelphia Story
1940,DIRECTING,FALSE,Rebecca
1941,DIRECTING,FALSE,Citizen Kane
1941,DIRECTING,FALSE,Here Comes Mr. Jordan
1941,DIRECTING,TRUE,How Green Was My Valley
1941,DIRECTING,FALSE,The Little Foxes
1941,DIRECTING,FALSE,Sergeant York
1942,DIRECTING,FALSE,Kings Row
1942,DIRECTING,TRUE,Mrs. Miniver
1942,DIRECTING,FALSE,Random Harvest
1942,DIRECTING,FALSE,Wake Island
1942,DIRECTING,FALSE,Yankee Doodle Dandy
1943,DIRECTING,TRUE,Casablanca
1943,DIRECTING,FALSE,Heaven Can Wait
1943,DIRECTING,FALSE,The Human Comedy
1943,DIRECTING,FALSE,The More the Merrier
1943,DIRECTING,FALSE,The Song of Bernadette
1944,DIRECTING,FALSE,Double Indemnity
1944,DIRECTING,TRUE,Going My Way
1944,DIRECTING,FALSE,Laura
1944,DIRECTING,FALSE,Lifeboat
1944,DIRECTING,FALSE,Wilson
1944,BEST MOTION PICTURE,FALSE,Double Indemnity
1944,BEST MOTION PICTURE,FALSE,Gaslight
1944,BEST MOTION PICTURE,TRUE,Going My Way
1944,BEST MOTION PICTURE,FALSE,Since You Went Away
1944,BEST MOTION PICTURE,FALSE,Wilson
1945,DIRECTING,FALSE,The Bells of St. Mary's
1945,DIRECTING,TRUE,The Lost Weekend
1945,DIRECTING,FALSE,National Velvet
1945,DIRECTING,FALSE,The Southerner
1945,DIRECTING,FALSE,Spellbound
1945,BEST MOTION PICTURE,FALSE,Anchors Aweigh
1945,BEST MOTION PICTURE,FALSE,The Bells of St. Mary's
1945,BEST MOTION PICTURE,TRUE,The Lost Weekend
1945,BEST MOTION PICTURE,FALSE,Mildred Pierce
1945,BEST MOTION PICTURE,FALSE,Spellbound
1946,DIRECTING,TRUE,The Best Years of Our Lives
1946,DIRECTING,FALSE,Brief Encounter
1946,DIRECTING,FALSE,It's a Wonderful Life
1946,DIRECTING,FALSE,The Killers
1946,DIRECTING,FALSE,The Yearling
1946,BEST MOTION PICTURE,TRUE,The Best Years of Our Lives
1946,BEST MOTION PICTURE,FALSE,Henry V
1946,BEST MOTION PICTURE,FALSE,It's a Wonderful Life
1946,BEST MOTION PICTURE,FALSE,The Razor's Edge
1946,BEST MOTION PICTURE,FALSE,The Yearling
1947,DIRECTING,FALSE,The Bishop's Wife
1947,DIRECTING,FALSE,Crossfire
1947,DIRECTING,FALSE,A Double Life
1947,DIRECTING,TRUE,Gentleman's Agreement
1947,DIRECTING,FALSE,Great Expectations
1947,BEST MOTION PICTURE,FALSE,The Bishop's Wife
1947,BEST MOTION PICTURE,FALSE,Crossfire
1947,BEST MOTION PICTURE,TRUE,Gentleman's Agreement
1947,BEST MOTION PICTURE,FALSE,Great Expectations
1947,BEST MOTION PICTURE,FALSE,Miracle on 34th Street
1948,DIRECTING,FALSE,Hamlet
1948,DIRECTING,FALSE,Johnny Belinda
1948,DIRECTING,FALSE,The Search
1948,DIRECTING,FALSE,The Snake Pit
1948,DIRECTING,TRUE,The Treasure of the Sierra Madre
1948,BEST MOTION PICTURE,TRUE,Hamlet
1948,BEST MOTION PICTURE,FALSE,Johnny Belinda
1948,BEST MOTION PICTURE,FALSE,The Red Shoes
1948,BEST MOTION PICTURE,FALSE,The Snake Pit
1948,BEST MOTION PICTURE,FALSE,The Treasure of the Sierra Madre
1949,DIRECTING,FALSE,All the King's Men
1949,DIRECTING,FALSE,Battleground
1949,DIRECTING,FALSE,The Fallen Idol
1949,DIRECTING,FALSE,The Heiress
1949,DIRECTING,TRUE,A Letter to Three Wives
1949,BEST MOTION PICTURE,TRUE,All the King's Men
1949,BEST MOTION PICTURE,FALSE,Battleground
1949,BEST MOTION PICTURE,FALSE,The Heiress
1949,BEST MOTION PICTURE,FALSE,A Letter to Three Wives
1949,BEST MOTION PICTURE,FALSE,Twelve O'Clock High
1950,DIRECTING,TRUE,All about Eve
1950,DIRECTING,FALSE,The Asphalt Jungle
1950,DIRECTING,FALSE,Born Yesterday
1950,DIRECTING,FALSE,Sunset Blvd.
1950,DIRECTING,FALSE,The Third Man
1950,BEST MOTION PICTURE,TRUE,All about Eve
1950,BEST MOTION PICTURE,FALSE,Born Yesterday
1950,BEST MOTION PICTURE,FALSE,Father of the Bride
1950,BEST MOTION PICTURE,FALSE,King Solomon's Mines
1950,BEST MOTION PICTURE,FALSE,Sunset Blvd.
1951,DIRECTING,FALSE,The African Queen
1951,DIRECTING,FALSE,An American in Paris
1951,DIRECTING,FALSE,Detective Story
1951,DIRECTING,TRUE,A Place in the Sun
1951,DIRECTING,FALSE,A Streetcar Named Desire
1951,BEST MOTION PICTURE,TRUE,An American in Paris
1951,BEST MOTION PICTURE,FALSE,Decision before Dawn
1951,BEST MOTION PICTURE,FALSE,A Place in the Sun
1951,BEST MOTION PICTURE,FALSE,Quo Vadis
1951,BEST MOTION PICTURE,FALSE,A Streetcar Named Desire
1952,DIRECTING,FALSE,Five Fingers
1952,DIRECTING,FALSE,The Greatest Show on Earth
1952,DIRECTING,FALSE,High Noon
1952,DIRECTING,FALSE,Moulin Rouge
1952,DIRECTING,TRUE,The Quiet Man
1952,BEST MOTION PICTURE,TRUE,The Greatest Show on Earth
1952,BEST MOTION PICTURE,FALSE,High Noon
1952,BEST MOTION PICTURE,FALSE,Ivanhoe
1952,BEST MOTION PICTURE,FALSE,Moulin Rouge
1952,BEST MOTION PICTURE,FALSE,The Quiet Man
1953,DIRECTING,TRUE,From Here to Eternity
1953,DIRECTING,FALSE,Lili
1953,DIRECTING,FALSE,Roman Holiday
1953,DIRECTING,FALSE,Shane
1953,DIRECTING,FALSE,Stalag 17
1953,BEST MOTION PICTURE,TRUE,From Here to Eternity
1953,BEST MOTION PICTURE,FALSE,Julius Caesar
1953,BEST MOTION PICTURE,FALSE,The Robe
1953,BEST MOTION PICTURE,FALSE,Roman Holiday
1953,BEST MOTION PICTURE,FALSE,Shane
1954,DIRECTING,FALSE,The Country Girl
1954,DIRECTING,FALSE,The High and the Mighty
1954,DIRECTING,TRUE,On the Waterfront
1954,DIRECTING,FALSE,Rear Window
1954,DIRECTING,FALSE,Sabrina
1954,BEST MOTION PICTURE,FALSE,The Caine Mutiny
1954,BEST MOTION PICTURE,FALSE,The Country Girl
1954,BEST MOTION PICTURE,TRUE,On the Waterfront
1954,BEST MOTION PICTURE,FALSE,Seven Brides for Seven Brothers
1954,BEST MOTION PICTURE,FALSE,Three Coins in the Fountain
1955,DIRECTING,FALSE,Bad Day at Black Rock
1955,DIRECTING,FALSE,East of Eden
1955,DIRECTING,TRUE,Marty
1955,DIRECTING,FALSE,Picnic
1955,DIRECTING,FALSE,Summertime
1955,BEST MOTION PICTURE,FALSE,Love Is a Many-Splendored Thing
1955,BEST MOTION PICTURE,TRUE,Marty
1955,BEST MOTION PICTURE,FALSE,Mister Roberts
1955,BEST MOTION PICTURE,FALSE,Picnic
1955,BEST MOTION PICTURE,FALSE,The Rose Tattoo
1956,DIRECTING,FALSE,Around the World in 80 Days
1956,DIRECTING,FALSE,Friendly Persuasion
1956,DIRECTING,TRUE,Giant
1956,DIRECTING,FALSE,The King and I
1956,DIRECTING,FALSE,War and Peace
1956,FOREIGN LANGUAGE FILM,FALSE,The Captain of Kopenick
1956,FOREIGN LANGUAGE FILM,FALSE,Gervaise
1956,FOREIGN LANGUAGE FILM,FALSE,Harp of Burma
1956,FOREIGN LANGUAGE FILM,TRUE,La Strada
1956,FOREIGN LANGUAGE FILM,FALSE,Qivitoq
1956,BEST MOTION PICTURE,TRUE,Around the World in 80 Days
1956,BEST MOTION PICTURE,FALSE,Friendly Persuasion
1956,BEST MOTION PICTURE,FALSE,Giant
1956,BEST MOTION PICTURE,FALSE,The King and I
1956,BEST MOTION PICTURE,FALSE,The Ten Commandments
1957,DIRECTING,TRUE,The Bridge on the River Kwai
1957,DIRECTING,FALSE,Peyton Place
1957,DIRECTING,FALSE,12 Angry Men
1957,FOREIGN LANGUAGE FILM,FALSE,The Devil Came at Night
1957,FOREIGN LANGUAGE FILM,FALSE,Gates of Paris
1957,FOREIGN LANGUAGE FILM,FALSE,Mother India
1957,FOREIGN LANGUAGE FILM,TRUE,The Nights of Cabiria
1957,FOREIGN LANGUAGE FILM,FALSE,Nine Lives
1957,BEST MOTION PICTURE,TRUE,The Bridge on the River Kwai
1957,BEST MOTION PICTURE,FALSE,Peyton Place
1957,BEST MOTION PICTURE,FALSE,Sayonara
1957,BEST MOTION PICTURE,FALSE,12 Angry Men
1957,BEST MOTION PICTURE,FALSE,Witness for the Prosecution
1958,DIRECTING,FALSE,Cat on a Hot Tin Roof
1958,DIRECTING,FALSE,The Defiant Ones
1958,DIRECTING,TRUE,Gigi
1958,DIRECTING,FALSE,I Want to Live!
1958,DIRECTING,FALSE,The Inn of the Sixth Happiness
1958,FOREIGN LANGUAGE FILM,FALSE,Arms and the Man
1958,FOREIGN LANGUAGE FILM,FALSE,La Venganza
1958,FOREIGN LANGUAGE FILM,TRUE,My Uncle
1958,FOREIGN LANGUAGE FILM,FALSE,The Road a Year Long
1958,FOREIGN LANGUAGE FILM,FALSE,The Usual Unidentified Thieves
1958,BEST MOTION PICTURE,FALSE,Auntie Mame
1958,BEST MOTION PICTURE,FALSE,Cat on a Hot Tin Roof
1958,BEST MOTION PICTURE,FALSE,The Defiant Ones
1958,BEST MOTION PICTURE,TRUE,Gigi
1958,BEST MOTION PICTURE,FALSE,Separate Tables
1959,DIRECTING,TRUE,Ben-Hur
1959,DIRECTING,FALSE,The Diary of Anne Frank
1959,DIRECTING,FALSE,The Nun's Story
1959,DIRECTING,FALSE,Room at the Top
1959,DIRECTING,FALSE,Some Like It Hot
1959,FOREIGN LANGUAGE FILM,TRUE,Black Orpheus
1959,FOREIGN LANGUAGE FILM,FALSE,The Bridge
1959,FOREIGN LANGUAGE FILM,FALSE,The Great War
1959,FOREIGN LANGUAGE FILM,FALSE,Paw
1959,FOREIGN LANGUAGE FILM,FALSE,The Village on the River
1959,BEST MOTION PICTURE,FALSE,Anatomy of a Murder
1959,BEST MOTION PICTURE,TRUE,Ben-Hur
1959,BEST MOTION PICTURE,FALSE,The Diary of Anne Frank
1959,BEST MOTION PICTURE,FALSE,The Nun's Story
1959,BEST MOTION PICTURE,FALSE,Room at the Top
1960,DIRECTING,TRUE,The Apartment
1960,DIRECTING,FALSE,Never on Sunday
1960,DIRECTING,FALSE,Psycho
1960,DIRECTING,FALSE,Sons and Lovers
1960,DIRECTING,FALSE,The Sundowners
1960,FOREIGN LANGUAGE FILM,FALSE,Kapo
1960,FOREIGN LANGUAGE FILM,FALSE,La Vï¿½ï¿½r
1960,FOREIGN LANGUAGE FILM,FALSE,Macario
1960,FOREIGN LANGUAGE FILM,FALSE,The Ninth Circle
1960,FOREIGN LANGUAGE FILM,TRUE,The Virgin Spring
1960,BEST MOTION PICTURE,FALSE,The Alamo
1960,BEST MOTION PICTURE,TRUE,The Apartment
1960,BEST MOTION PICTURE,FALSE,Elmer Gantry
1960,BEST MOTION PICTURE,FALSE,Sons and Lovers
1960,BEST MOTION PICTURE,FALSE,The Sundowners
1961,DIRECTING,FALSE,The Guns of Navarone
1961,DIRECTING,FALSE,The Hustler
1961,DIRECTING,FALSE,Judgment at Nuremberg
1961,DIRECTING,FALSE,La Dolce Vita
1961,DIRECTING,TRUE,West Side Story
1961,FOREIGN LANGUAGE FILM,FALSE,Harry and the Butler
1961,FOREIGN LANGUAGE FILM,FALSE,Immortal Love
1961,FOREIGN LANGUAGE FILM,FALSE,The Important Man
1961,FOREIGN LANGUAGE FILM,FALSE,Placido
1961,FOREIGN LANGUAGE FILM,TRUE,Through a Glass Darkly
1961,BEST MOTION PICTURE,FALSE,Fanny
1961,BEST MOTION PICTURE,FALSE,The Guns of Navarone
1961,BEST MOTION PICTURE,FALSE,The Hustler
1961,BEST MOTION PICTURE,FALSE,Judgment at Nuremberg
1961,BEST MOTION PICTURE,TRUE,West Side Story
1962,DIRECTING,FALSE,David and Lisa
1962,DIRECTING,FALSE,Divorce--Italian Style
1962,DIRECTING,TRUE,Lawrence of Arabia
1962,DIRECTING,FALSE,The Miracle Worker
1962,DIRECTING,FALSE,To Kill a Mockingbird
1962,FOREIGN LANGUAGE FILM,FALSE,Electra
1962,FOREIGN LANGUAGE FILM,FALSE,The Four Days of Naples
1962,FOREIGN LANGUAGE FILM,FALSE,Keeper of Promises (The Given Word)
1962,FOREIGN LANGUAGE FILM,TRUE,Sundays and Cybele
1962,FOREIGN LANGUAGE FILM,FALSE,Tlayucan
1962,BEST PICTURE,TRUE,Lawrence of Arabia
1962,BEST PICTURE,FALSE,The Longest Day
1962,BEST PICTURE,FALSE,Meredith Willson's The Music Man
1962,BEST PICTURE,FALSE,Mutiny on the Bounty
1962,BEST PICTURE,FALSE,To Kill a Mockingbird
1963,DIRECTING,FALSE,America America
1963,DIRECTING,FALSE,The Cardinal
1963,DIRECTING,FALSE,Federico Fellini's 8-1/2
1963,DIRECTING,FALSE,Hud
1963,DIRECTING,TRUE,Tom Jones
1963,FOREIGN LANGUAGE FILM,TRUE,Federico Fellini's 8-1/2
1963,FOREIGN LANGUAGE FILM,FALSE,Knife in the Water
1963,FOREIGN LANGUAGE FILM,FALSE,Los Tarantos
1963,FOREIGN LANGUAGE FILM,FALSE,The Red Lanterns
1963,FOREIGN LANGUAGE FILM,FALSE,Twin Sisters of Kyoto
1963,BEST PICTURE,FALSE,America America
1963,BEST PICTURE,FALSE,Cleopatra
1963,BEST PICTURE,FALSE,How the West Was Won
1963,BEST PICTURE,FALSE,Lilies of the Field
1963,BEST PICTURE,TRUE,Tom Jones
1964,DIRECTING,FALSE,Becket
1964,DIRECTING,FALSE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,DIRECTING,FALSE,Mary Poppins
1964,DIRECTING,TRUE,My Fair Lady
1964,DIRECTING,FALSE,Zorba the Greek
1964,FOREIGN LANGUAGE FILM,FALSE,Raven's End
1964,FOREIGN LANGUAGE FILM,FALSE,Sallah
1964,FOREIGN LANGUAGE FILM,FALSE,The Umbrellas of Cherbourg
1964,FOREIGN LANGUAGE FILM,FALSE,Woman in the Dunes
1964,FOREIGN LANGUAGE FILM,TRUE,"Yesterday, Today and Tomorrow"
1964,BEST PICTURE,FALSE,Becket
1964,BEST PICTURE,FALSE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,BEST PICTURE,FALSE,Mary Poppins
1964,BEST PICTURE,TRUE,My Fair Lady
1964,BEST PICTURE,FALSE,Zorba the Greek
1965,DIRECTING,FALSE,The Collector
1965,DIRECTING,FALSE,Darling
1965,DIRECTING,FALSE,Doctor Zhivago
1965,DIRECTING,TRUE,The Sound of Music
1965,DIRECTING,FALSE,Woman in the Dunes
1965,FOREIGN LANGUAGE FILM,FALSE,Blood on the Land
1965,FOREIGN LANGUAGE FILM,FALSE,Dear John
1965,FOREIGN LANGUAGE FILM,FALSE,Kwaidan
1965,FOREIGN LANGUAGE FILM,FALSE,Marriage Italian Style
1965,FOREIGN LANGUAGE FILM,TRUE,The Shop on Main Street
1965,BEST PICTURE,FALSE,Darling
1965,BEST PICTURE,FALSE,Doctor Zhivago
1965,BEST PICTURE,FALSE,Ship of Fools
1965,BEST PICTURE,TRUE,The Sound of Music
1965,BEST PICTURE,FALSE,A Thousand Clowns
1966,DIRECTING,FALSE,Blow-Up
1966,DIRECTING,FALSE,A Man and a Woman
1966,DIRECTING,TRUE,A Man for All Seasons
1966,DIRECTING,FALSE,The Professionals
1966,DIRECTING,FALSE,Who's Afraid of Virginia Woolf?
1966,FOREIGN LANGUAGE FILM,FALSE,The Battle of Algiers
1966,FOREIGN LANGUAGE FILM,FALSE,Loves of a Blonde
1966,FOREIGN LANGUAGE FILM,TRUE,A Man and a Woman
1966,FOREIGN LANGUAGE FILM,FALSE,Pharaoh
1966,FOREIGN LANGUAGE FILM,FALSE,Three
1966,BEST PICTURE,FALSE,Alfie
1966,BEST PICTURE,TRUE,A Man for All Seasons
1966,BEST PICTURE,FALSE,The Russians Are Coming The Russians Are Coming
1966,BEST PICTURE,FALSE,The Sand Pebbles
1966,BEST PICTURE,FALSE,Who's Afraid of Virginia Woolf?
1967,DIRECTING,FALSE,Bonnie and Clyde
1967,DIRECTING,TRUE,The Graduate
1967,DIRECTING,FALSE,Guess Who's Coming to Dinner
1967,DIRECTING,FALSE,In Cold Blood
1967,DIRECTING,FALSE,In the Heat of the Night
1967,FOREIGN LANGUAGE FILM,TRUE,Closely Watched Trains
1967,FOREIGN LANGUAGE FILM,FALSE,El Amor Brujo
1967,FOREIGN LANGUAGE FILM,FALSE,I Even Met Happy Gypsies
1967,FOREIGN LANGUAGE FILM,FALSE,Live for Life
1967,FOREIGN LANGUAGE FILM,FALSE,Portrait of Chieko
1967,BEST PICTURE,FALSE,Bonnie and Clyde
1967,BEST PICTURE,FALSE,Doctor Dolittle
1967,BEST PICTURE,FALSE,The Graduate
1967,BEST PICTURE,FALSE,Guess Who's Coming to Dinner
1967,BEST PICTURE,TRUE,In the Heat of the Night
1968,DIRECTING,FALSE,The Battle of Algiers
1968,DIRECTING,FALSE,The Lion in Winter
1968,DIRECTING,TRUE,Oliver!
1968,DIRECTING,FALSE,Romeo and Juliet
1968,DIRECTING,FALSE,2001: A Space Odyssey
1968,FOREIGN LANGUAGE FILM,FALSE,The Boys of Paul Street
1968,FOREIGN LANGUAGE FILM,FALSE,The Firemen's Ball
1968,FOREIGN LANGUAGE FILM,FALSE,The Girl with the Pistol
1968,FOREIGN LANGUAGE FILM,FALSE,Stolen Kisses
1968,FOREIGN LANGUAGE FILM,TRUE,War and Peace
1968,BEST PICTURE,FALSE,Funny Girl
1968,BEST PICTURE,FALSE,The Lion in Winter
1968,BEST PICTURE,TRUE,Oliver!
1968,BEST PICTURE,FALSE,"Rachel, Rachel"
1968,BEST PICTURE,FALSE,Romeo and Juliet
1969,DIRECTING,FALSE,Alice's Restaurant
1969,DIRECTING,FALSE,Butch Cassidy and the Sundance Kid
1969,DIRECTING,TRUE,Midnight Cowboy
1969,DIRECTING,FALSE,"They Shoot Horses, Don't They?"
1969,DIRECTING,FALSE,Z
1969,FOREIGN LANGUAGE FILM,FALSE,ýýdalen '31
1969,FOREIGN LANGUAGE FILM,FALSE,The Battle of Neretva
1969,FOREIGN LANGUAGE FILM,FALSE,The Brothers Karamazov
1969,FOREIGN LANGUAGE FILM,FALSE,My Night at Maud's
1969,FOREIGN LANGUAGE FILM,TRUE,Z
1969,BEST PICTURE,FALSE,Anne of the Thousand Days
