year,category,winner,entity
1991,DIRECTING,FALSE,Boyz N the Hood
1991,DIRECTING,FALSE,Bugsy
1991,DIRECTING,FALSE,JFK
1991,DIRECTING,TRUE,The Silence of the Lambs
1991,DIRECTING,FALSE,Thelma & Louise
1991,FOREIGN LANGUAGE FILM,FALSE,Children of Nature
1991,FOREIGN LANGUAGE FILM,FALSE,The Elementary School
1991,FOREIGN LANGUAGE FILM,TRUE,Mediterraneo
1991,FOREIGN LANGUAGE FILM,FALSE,The Ox
1991,FOREIGN LANGUAGE FILM,FALSE,Raise the Red Lantern
1991,BEST PICTURE,FALSE,Beauty and the Beast
1991,BEST PICTURE,FALSE,Bugsy
1991,BEST PICTURE,FALSE,JFK
1991,BEST PICTURE,FALSE,The Prince of Tides
1991,BEST PICTURE,TRUE,The Silence of the Lambs